earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
38518,2732,0.8824,880,29764,0.783,0.3052,22500,Private Nonprofit,5,10.558880943484157,7.913155185928068,-2.0455920410982205
49006,2859,0.7347,1134,67880,0.2341,0.5206,10413,Private Nonprofit,5,10.799698018576091,7.958576903813898,-0.33300090070222094
58308,59146,0.4011,1269,23133,0.3234,0.7801,15000,Public,5,10.973494584193904,10.987781149608049,0.5772345479334481
51819,1888,0.758,1250,68944,0.2085,0.6592,19500,Private Nonprofit,5,10.855512156361394,7.543802867501509,0.4491273366439835
84131,7860,0.6481,1257,64632,0.1478,0.6655,14250,Private Nonprofit,5,11.340130386840556,8.969669103793757,0.4963247302769442
44349,7582,0.2056,1107,23970,0.5431,0.5335,17855,Public,5,10.6998454395692,8.933664178700935,-0.5150479904293548
56746,23757,0.6613,1127,21522,0.3392,0.6257,12500,Public,5,10.946340448277995,10.075674594849485,-0.38019829433518154
49483,2391,0.8076,1084,45744,0.2907,0.5598,15000,Private Nonprofit,5,10.809384455226269,7.779885115070522,-0.6701251409376539
43445,588,0.6966,1108,34870,0.2314,0.5404,10000,Private Nonprofit,5,10.679251049273306,6.3784261836515865,-0.508305505624646
43137,3404,0.577,1225,62440,0.2111,0.6354,14049,Private Nonprofit,5,10.672136376495851,8.133000218583613,0.28056521652626704
60249,39508,0.5466,1163,21462,0.4137,0.7443,14246,Public,5,11.006241253704788,10.584283773037043,-0.1374688413656698
55294,2656,0.6442,1252,60768,0.281,0.7055,19500,Private Nonprofit,5,10.920419682528133,7.884952945759814,0.4626123062534009
61675,32212,0.2422,1361,25720,0.2297,0.8561,16100,Public,5,11.029633941397558,10.380125376764877,1.1975431499666447
71588,35629,0.242,1403,22523,0.2166,0.9112,14000,Public,5,11.1786827411373,10.48094325859988,1.4807275117644083
68010,2930,0.5694,1205,63969,0.3073,0.5065,12803,Private Nonprofit,5,11.127410032169683,7.983098940710892,0.14571552043209388
75328,12913,0.189,1415,86078,0.1486,0.8368,15250,Private Nonprofit,5,11.229607190619948,9.466067273186413,1.5616373294209123
56343,13359,0.5324,1153,20983,0.3075,0.6921,11750,Public,5,10.939213288149046,9.500020447090638,-0.2048936894127564
59209,7240,0.7321,1157,56692,0.3581,0.6334,16985,Private Nonprofit,5,10.988828836344188,8.88751459738882,-0.17792375019392176
49232,2603,0.8199,1075,53827,0.2296,0.5534,13816,Private Nonprofit,5,10.804299097561824,7.86480400332846,-0.7308075041800318
58295,2631,0.4754,1271,76108,0.2285,0.7505,21385,Private Nonprofit,5,10.973271605367392,7.875499292445208,0.5907195175428653
57743,37207,0.4319,1227,22859,0.2936,0.7676,14976,Public,5,10.963757408916043,10.524279070903932,0.2940501861356844
51642,2297,0.716,1176,72533,0.3721,0.6229,15000,Private Nonprofit,5,10.852090573877527,7.739794458408701,-0.049816538904457246
37275,386,0.5328,907,26995,0.5013,0.3418,11500,Private Nonprofit,5,10.52607813963294,5.958424693029782,-1.8635449513710867
46086,756,0.4281,932,41044,0.5088,0.4213,13000,Private Nonprofit,5,10.738264495226735,6.6293632534374485,-1.6949828312533701
49137,9330,0.5824,1138,19947,0.3309,0.588,13000,Public,5,10.802367594150487,9.141097469234024,-0.3060309614833863
34996,3208,0.7572,990,13956,0.3474,0.3615,8750,Public,5,10.462989048226156,8.073714641109857,-1.3039187125802678
56274,836,0.6215,1260,63283,0.3853,0.7068,17750,Private Nonprofit,5,10.937987895736994,6.729824070489475,0.5165521846910701
53800,2245,0.64,1220,56697,0.2677,0.6949,18900,Private Nonprofit,5,10.893028746149875,7.716906135298388,0.24685279250272377
54003,1029,0.8778,1079,46010,0.4586,0.3291,18425,Private Nonprofit,5,10.896794879558817,6.937314081223682,-0.7038375649611972
39318,2979,0.9813,1000,21924,0.4047,0.2559,8250,Public,5,10.579437708267552,7.999678579499451,-1.2364938645331813
49179,4348,0.6845,958,17415,0.5217,0.3986,16750,Public,5,10.803221982094566,8.37770121259764,-1.519678226330945
44544,5625,0.9912,977,21676,0.4464,0.4176,15000,Public,5,10.704232743694092,8.635153989049803,-1.3915710150414804
50412,939,0.8651,1294,57467,0.1905,0.7149,19000,Private Nonprofit,5,10.827984520957385,6.84587987526405,0.7457966680511645
80137,7298,0.1065,1520,83622,0.1821,0.9109,16750,Private Nonprofit,5,11.291492948999805,8.895492631451633,2.2695982339153216
36666,2684,0.6587,994,19879,0.7332,0.4111,19000,Public,5,10.50960517412297,7.895436006942965,-1.2769487733614333
102772,18785,0.1407,1480,28167,0.139,0.9402,20000,Public,5,11.540268221361936,9.84086719055446,1.9998988417269752
48757,2424,0.7517,978,20484,0.4344,0.4064,11000,Public,5,10.794604055861562,7.793586803371584,-1.3848285302367718
58140,5947,0.7823,1163,30258,0.1757,0.6361,16018,Public,5,10.970609174112868,8.690810307580046,-0.1374688413656698
