earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
28418,342,NA,NA,23060,0.7936,0.0739,8250,2,5,10.254778026198021,5.8377304471659395
18078,106,NA,NA,NA,0.5141,NA,6333,3,5,9.802451008358355,4.672828834461906
16857,61,NA,NA,NA,0.5641,NA,7000,3,5,9.732521279780308,4.127134385045092
44232,648,0.6276,NA,44978,0.4061,0.4676,10699,2,5,10.697203788017768,6.47543271670409
16209,123,NA,NA,NA,0.6833,NA,9833,3,5,9.693321922512176,4.820281565605037
58191,28677,0.743,1169,27767,0.1779,0.7052,15749,1,5,10.971485982586401,10.263885557274984
35550,1807,0.4118,922,21129,0.695,0.4043,14328,1,5,10.478695435231387,7.4999765409521215
36603,1986,NA,NA,18771,0.3505,NA,5500,1,5,10.507885483243443,7.594381242551817
42617,9110,0.8226,1090,25082,0.3838,0.554,15000,1,5,10.660008513686648,9.117237753713859
41766,5388,0.9589,1049,22808,0.3389,0.4856,11350,1,5,10.639837890396722,8.592115117933497
36902,1933,NA,NA,22519,0.5038,0.4855,11364,1,5,10.516021029101827,7.56734567601324
21954,29,NA,NA,NA,0.6935,NA,7931,3,5,9.996704634247262,3.4011973816621555
62244,569,0.9545,NA,31961,0.4551,NA,9500,2,5,11.0388174241394,6.345636360828596
34818,903,NA,NA,14374,0.3731,NA,6000,1,5,10.457889773418664,6.806829360392176
45938,7762,0.8949,1118,25029,0.3798,0.5353,13000,1,5,10.7350479402497,8.95712413640568
46789,484,0.6346,1046,30605,0.3982,0.3411,12876,2,5,10.753403411543824,6.184148890937483
33775,772,NA,NA,11538,0.3157,NA,NA,1,5,10.4274761628284,6.650279048587422
39533,165,NA,NA,27340,0.4178,0.3585,13918,2,5,10.584891045138901,5.111987788356544
28471,554,NA,NA,13240,0.252,NA,4750,1,5,10.256641304347884,6.318968113746434
24765,360,NA,NA,NA,0.6135,NA,9833,3,5,10.117186645022338,5.8888779583328805
32444,1789,NA,NA,19331,0.4801,NA,6250,1,5,10.387270805190235,7.489970898834801
33706,751,NA,NA,15808,0.4696,NA,7085,1,5,10.425431142035965,6.62273632394984
52876,3382,0.7052,1182,39534,0.2381,0.6879,21601,2,5,10.87570482869929,8.12651816878071
43459,1456,NA,NA,27385,0.4622,0.3734,12000,1,5,10.679573243881636,7.284134806195205
60376,1100,0.5565,1282,55013,0.2319,0.7235,19500,2,5,11.008346953964704,7.00397413672268
21563,86,NA,NA,NA,0.7361,NA,8000,3,5,9.978734161910666,4.465908118654584
73975,92,NA,NA,NA,0.5446,NA,7500,2,5,11.21148247726841,4.532599493153256
53907,1471,0.7614,1195,44710,0.237,0.7179,17000,2,5,10.895015618594563,7.294377299288821
21567,245,NA,NA,NA,0.6913,NA,5531,3,5,9.978919647651981,5.5053315359323625
16941,52,NA,NA,NA,0.6638,NA,4398,3,5,9.737491998340946,3.970291913552122
31857,502,NA,NA,14365,0.3105,NA,NA,1,5,10.369012417071955,6.220590170099739
33169,756,NA,NA,12094,0.2398,NA,NA,1,5,10.4093709837628,6.6293632534374485
18715,39,NA,NA,NA,0.8485,NA,9500,3,5,9.83708062033853,3.6888794541139363
34653,1202,NA,NA,16846,0.3591,NA,5928,1,5,10.45313958095679,7.0925737159746784
41513,206,NA,NA,19487,0.788,NA,NA,1,5,10.633761910177357,5.332718793265369
51673,1602,0.6752,1211,47321,0.2341,0.614,15000,2,5,10.852690680366042,7.3796321526095525
37374,550,NA,NA,14579,0.1415,NA,6500,1,5,10.5287305544822,6.311734809152915
29314,575,NA,NA,12069,0.4186,NA,7713,1,5,10.285820496587245,6.3561076606958915
44384,767,0.5951,1105,38666,0.3984,0.5148,11000,2,5,10.700634323114558,6.643789733147672
34924,1447,1,1020,15362,0.3919,NA,6300,1,5,10.460929550930699,7.277938572945661
38427,751,NA,NA,28136,0.6781,0.3038,14750,2,5,10.556515616499246,6.62273632394984
29552,614,NA,NA,11567,0.3437,NA,3500,1,5,10.29390670243902,6.421622267806518
33603,851,NA,NA,22405,0.7864,NA,6186,1,5,10.422370627679848,6.747586526829315
26754,42,NA,NA,NA,0.74,NA,9833,3,5,10.194439273855531,3.7612001156935624
